title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
Unforgiven,1992,"Drama, Western",130,USA,English,Clint Eastwood,David Webb Peoples,Warner Bros.,"Clint Eastwood, Gene Hackman, Morgan Freeman, Richard Harris, Jaimz Woolvett, Saul Rubinek, Frances Fisher, Anna Levine, David Mucci, Rob Campbell, Anthony James, Tara Frederick, Beverley Elliott, Liisa Repo-Martell, Josie Smith",8.2,349541,14400000,101157447,159157447,85.0,559.0,116.0
Universal Soldier,1992,"Action, Sci-Fi",102,USA,English,Roland Emmerich,"Richard Rothstein, Christopher Leitch",StudioCanal,"Jean-Claude Van Damme, Dolph Lundgren, Ally Walker, Ed O'Ross, Jerry Orbach, Leon Rippy, Tico Wells, Ralf Moeller, Robert Trebor, Gene Davis, Drew Snyder, Tommy 'Tiny' Lister, Simon Rhee, Eric Norris, Michael Winther",6.0,78749,23000000,36299898,36299898,35.0,143.0,99.0
Wayne's World,1992,"Comedy, Music",94,USA,"English, Cantonese",Penelope Spheeris,"Mike Myers, Mike Myers",Paramount Pictures,"Mike Myers, Dana Carvey, Rob Lowe, Tia Carrere, Brian Doyle-Murray, Lara Flynn Boyle, Michael DeLuise, Dan Bell, Lee Tergesen, Kurt Fuller, Sean Sullivan, Colleen Camp, Donna Dixon, Frederick Coffin, Mike Hagerty",7.0,135953,20000000,121697323,183097323,57.0,189.0,74.0
Wind,1992,"Action, Drama, Sport",126,"USA, Japan",English,Carroll Ballard,"Jeff Benjamin, Roger Vaughan",American Zoetrope,"Matthew Modine, Jennifer Grey, Cliff Robertson, Jack Thompson, Stellan Skarsgård, Rebecca Miller, Ned Vaughn, Peter Montgomery, Elmer Ahlwardt, Saylor Creswell, James Rebhorn, Michael Higgins, Ron Colbin, Ken Kensei, Bill Buell",6.5,2334,29000000,5519569,5519569,57.0,38.0,9.0
Addams Family Values,1993,"Comedy, Fantasy",94,USA,English,Barry Sonnenfeld,"Charles Addams, Paul Rudnick",Paramount Pictures,"Anjelica Huston, Raul Julia, Christopher Lloyd, Joan Cusack, Christina Ricci, Carol Kane, Jimmy Workman, Kaitlyn Hooper, Kristen Hooper, Carel Struycken, David Krumholtz, Christopher Hart, Dana Ivey, Peter MacNicol, Christine Baranski",6.7,72803,47000000,48919043,48919043,62.0,137.0,59.0
The Age of Innocence,1993,"Drama, Romance",139,USA,"English, Italian",Martin Scorsese,"Edith Wharton, Jay Cocks",Columbia Pictures,"Daniel Day-Lewis, Michelle Pfeiffer, Winona Ryder, Linda Faye Farkas, Michael Rees Davis, Terry Cook, Jon Garrison, Richard E. Grant, Alec McCowen, Geraldine Chaplin, Mary Beth Hurt, Stuart Wilson, Howard Erskine, John McLoughlin, Christopher Nilsson",7.2,45639,34000000,32255440,32255440,90.0,174.0,70.0
Army of Darkness,1992,"Comedy, Horror",81,USA,English,Sam Raimi,"Sam Raimi, Ivan Raimi",Dino De Laurentiis Company,"Bruce Campbell, Embeth Davidtz, Marcus Gilbert, Ian Abercrombie, Richard Grove, Timothy Patrick Quill, Michael Earl Reid, Bridget Fonda, Patricia Tallman, Ted Raimi, Deke Anderson, Bruce Thomas, Sara Shearer, Shiva Gordon, Billy Bryan",7.5,154599,11000000,11502976,11502976,57.0,642.0,242.0
Being Human,1994,"Comedy, Drama",122,"UK, Japan","English, Scottish Gaelic",Bill Forsyth,Bill Forsyth,Warner Bros.,"Robin Williams, Kelly Hunter, Maudie Johnson, Max Johnson, Robert Carlyle, Eoin McCarthy, Irvine Allen, Iain Andrew, Robert Cavanah, Tony Curran, Andrew Flanagan, Seamus Gubbins, Iain McAleese, David McGowan, Gavin Mitchell",5.5,3662,40000000,1519366,1519366,33.0,40.0,19.0
Body Snatchers,1993,"Horror, Sci-Fi",87,USA,English,Abel Ferrara,"Jack Finney, Raymond Cistheri",Dorset Productions,"Terry Kinney, Meg Tilly, Gabrielle Anwar, Reilly Murphy, Billy Wirth, Christine Elise, R. Lee Ermey, Kathleen Doyle, Forest Whitaker, G. Elvis Phillips, Stanley Small, Tonea Stewart, Keith Smith, Winston E. Grant, Phil Neilson",5.9,15749,13000000,428868,428868,65.0,89.0,71.0
Bopha!,1993,Drama,120,USA,"English, Afrikaans",Morgan Freeman,"Percy Mtwa, Brian Bird",Arsenio Hall Communications,"Danny Glover, Malcolm McDowell, Alfre Woodard, Marius Weyers, Maynard Eziashi, Malick Bowens, Michael Chinyamurindi, Christopher John Hall, Grace Mahlaba, Robin Smith, Julie Strijdom, Peter Kampila, Sello Maake Ka-Ncube, Eric Miyeni, Tshepo Nzimande",6.5,780,12000000,212483,212483,68.0,13.0,5.0
A Bronx Tale,1993,"Crime, Drama, Romance",121,USA,"English, Italian",Robert De Niro,"Chazz Palminteri, Chazz Palminteri",Price Entertainment,"Robert De Niro, Chazz Palminteri, Lillo Brancato, Francis Capra, Taral Hicks, Kathrine Narducci, Clem Caserta, Alfred Sauchelli Jr., Frank Pietrangolare, Joe Pesci, Robert D'Andrea, Eddie Montanaro, Fred Fischer, Dave Salerno, Joseph D'Onofrio",7.8,119253,22000000,17287898,17287898,80.0,211.0,55.0
Carlito's Way,1993,"Crime, Drama, Thriller",144,USA,"English, Spanish",Brian De Palma,"Edwin Torres, David Koepp",Universal Pictures,"Al Pacino, Sean Penn, Penelope Ann Miller, John Leguizamo, Ingrid Rogers, Luis Guzmán, James Rebhorn, Joseph Siravo, Viggo Mortensen, Richard Foronjy, Jorge Porcel, Frank Minucci, Adrian Pasdar, John Ortiz, Ángel Salazar",7.9,188789,30000000,36948322,63851527,65.0,315.0,112.0
Children of the Corn II: The Final Sacrifice,1992,"Horror, Thriller",92,USA,English,David Price,"Stephen King, A L Katz",Corn Cobb Productions,"Terence Knox, Paul Scherrer, Ryan Bollman, Christie Clark, Rosalind Allen, Ned Romero, Ed Grady, John Bennes, Wallace Merck, Joe Inscoe, Kellie Bennett, Robert C. Treveiler, Leon Pridgen, Marty Terry, Ted Travelstead",4.3,7190,900000,6980986,6980986,18.0,80.0,59.0
Cliffhanger,1993,"Action, Adventure, Thriller",113,"USA, Italy, France",English,Renny Harlin,"John Long, Michael France",Carolco Pictures,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon, Craig Fairbrass, Gregory Scott Cummins, Denis Forest, Michelle Joyner, Max Perlich, Paul Winfield, Ralph Waite, Trey Brownell",6.4,113487,70000000,84049211,255000211,60.0,188.0,94.0
Cool Runnings,1993,"Adventure, Comedy, Family",98,USA,"English, German, Russian",Jon Turteltaub,"Lynn Siefert, Michael Ritchie",Walt Disney Pictures,"Leon, Doug E. Doug, Rawle D. Lewis, Malik Yoba, John Candy, Raymond J. Barry, Peter Outerbridge, Paul Coeur, Larry Gilman, Charles Hyatt, Winston Stona, Bertina Macauley, Pauline Stone Myrie, Kristoffer Cooper, Bill Dow",7.0,85758,14000000,68856263,154856263,60.0,108.0,51.0
The Dark Half,1993,"Horror, Mystery, Thriller",122,USA,English,George A. Romero,"Stephen King, George A. Romero",Orion Pictures,"Timothy Hutton, Amy Madigan, Michael Rooker, Julie Harris, Robert Joy, Kent Broadhurst, Beth Grant, Rutanya Alda, Tom Mardirosian, Larry John Meyers, Patrick Brannan, Royal Dano, Glenn Colerider, Sarah Parker, Elizabeth Parker",6.0,14857,15000000,10611160,10611160,53.0,77.0,94.0
Dave,1993,"Comedy, Romance",110,USA,"English, Spanish",Ivan Reitman,Gary Ross,Warner Bros.,"Kevin Kline, Sigourney Weaver, Frank Langella, Kevin Dunn, Ving Rhames, Ben Kingsley, Charles Grodin, Faith Prince, Laura Linney, Bonnie Hunt, Parley Baer, Stefan Gierasch, Anna Deavere Smith, Charles Hallahan, Tom Dugan",6.8,46541,28000000,63270710,63270710,76.0,141.0,54.0
Dazed and Confused,1993,Comedy,102,USA,English,Richard Linklater,Richard Linklater,Gramercy Pictures (I),"Jason London, Joey Lauren Adams, Milla Jovovich, Shawn Andrews, Rory Cochrane, Adam Goldberg, Anthony Rapp, Sasha Jenson, Marissa Ribisi, Deena Martin, Michelle Burke, Cole Hauser, Christine Harnos, Wiley Wiggins, Mark Vandermeulen",7.6,150843,6900000,7993039,7993039,78.0,451.0,166.0
Demolition Man,1993,"Action, Crime, Sci-Fi",115,USA,English,Marco Brambilla,"Peter M. Lenkov, Robert Reneau",Warner Bros.,"Sylvester Stallone, Wesley Snipes, Sandra Bullock, Nigel Hawthorne, Benjamin Bratt, Bob Gunton, Glenn Shadix, Denis Leary, Grand L. Bush, Pat Skipper, Steve Kahan, Paul Bollen, Mark Colson, Andre Gregory, John Enos III",6.7,148645,57000000,58055768,58055768,34.0,244.0,107.0
Ernest Rides Again,1993,"Family, Comedy",96,"Canada, USA",English,John R. Cherry III,"John R. Cherry III, William M. Akers",Emshell Producers,"Jim Varney, Ron James, Tom Butler, Linda Kash, Duke Ernsberger, Jeffrey Pillars, Dave 'Squatch' Ward, Dee Jay Jackson, Charles Siegel, Alf Humphreys, Lillian Carlson, Mitchell Kosterman, George Josef, Tony Morelli, Alan Robertson",5.0,1874,7000000,1450029,1450029,28.0,17.0,6.0
Even Cowgirls Get the Blues,1993,"Comedy, Drama, Romance",95,USA,"English, German",Gus Van Sant,"Tom Robbins, Gus Van Sant",New Line Cinema,"Uma Thurman, Lorraine Bracco, Pat Morita, Angie Dickinson, Keanu Reeves, John Hurt, Rain Phoenix, Ed Begley Jr., Carol Kane, Sean Young, Crispin Glover, Roseanne Barr, Buck Henry, Grace Zabriskie, Treva Jeffryes",4.4,6811,8000000,1708873,1708873,28.0,50.0,26.0
Falling Down,1993,"Crime, Drama, Thriller",113,"France, USA","English, Spanish, Korean",Joel Schumacher,Ebbe Roe Smith,Alcor Films,"Michael Douglas, Robert Duvall, Barbara Hershey, Rachel Ticotin, Tuesday Weld, Frederic Forrest, Lois Smith, Joey Singer, Ebbe Roe Smith, Michael Paul Chan, Raymond J. Barry, D.W. Moffett, Steve Park, Kimberly Scott, James Keane",7.6,158972,25000000,40903593,40903593,56.0,422.0,78.0
The Firm,1993,"Drama, Mystery, Thriller",154,USA,English,Sydney Pollack,"John Grisham, David Rabe",Davis Entertainment,"Tom Cruise, Jeanne Tripplehorn, Gene Hackman, Hal Holbrook, Terry Kinney, Wilford Brimley, Ed Harris, Holly Hunter, David Strathairn, Gary Busey, Steven Hill, Tobin Bell, Barbara Garrick, Jerry Hardin, Paul Calderon",6.8,108953,42000000,158348367,270248367,58.0,163.0,71.0
Free Willy,1993,"Adventure, Drama, Family",112,"USA, France, Mexico",English,Simon Wincer,"Keith Walker, Keith Walker",Warner Bros.,"Jason James Richter, Lori Petty, Jayne Atkinson, August Schellenberg, Michael Madsen, Michael Ironside, Richard Riehle, Mykelti Williamson, Michael Bacall, Danielle Harris, Isaiah Malone, Betsy Toll, Rob Sample, Merrilyn Jones, Mickey Gaines",5.9,64262,20000000,77698625,153698625,79.0,72.0,26.0
The Fugitive,1993,"Action, Crime, Drama",130,USA,"English, Polish, Spanish",Andrew Davis,"Jeb Stuart, David Twohy",Warner Bros.,"Harrison Ford, Tommy Lee Jones, Sela Ward, Julianne Moore, Joe Pantoliano, Andreas Katsulas, Jeroen Krabbé, Daniel Roebuck, L. Scott Caldwell, Tom Wood, Ron Dean, Joseph F. Kosala, Miguel Nino, John Drummond, Tony Fosco",7.8,250261,44000000,183875760,368875760,87.0,312.0,125.0
Groundhog Day,1993,"Comedy, Fantasy, Romance",101,USA,"English, French, Italian",Harold Ramis,"Danny Rubin, Harold Ramis",Columbia Pictures,"Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky, Brian Doyle-Murray, Marita Geraghty, Angela Paton, Rick Ducommun, Rick Overton, Robin Duke, Carol Bivins, Willie Garson, Ken Hudson Campbell, Les Podewell, Rod Sell",8.0,550217,14600000,70906973,70906973,72.0,722.0,181.0
In the Line of Fire,1993,"Action, Crime, Drama",128,USA,English,Wolfgang Petersen,Jeff Maguire,Columbia Pictures,"Clint Eastwood, John Malkovich, Rene Russo, Dylan McDermott, Gary Cole, Fred Dalton Thompson, John Mahoney, Gregory Alan Williams, Jim Curley, Sally Hughes, Clyde Kusatsu, Steve Hytner, Tobin Bell, Bob Schott, Juan A. Riojas",7.2,86837,40000000,102314823,176997168,74.0,155.0,74.0
In the Name of the Father,1993,"Biography, Drama",133,"Ireland, UK",English,Jim Sheridan,"Gerry Conlon, Terry George",Hell's Kitchen Films,"Alison Crosbie, Daniel Day-Lewis, Philip King, Emma Thompson, Nye Heron, Anthony Brophy, Frankie McCafferty, Paul Warriner, Julian Walsh, Stuart Wolfenden, Jo Connor, Karen Carlisle, Seamus Moran, Billy Byrne, Maureen McBride",8.1,144943,13000000,25096862,65796862,84.0,173.0,58.0
Indecent Proposal,1993,"Drama, Romance",117,USA,English,Adrian Lyne,"Jack Engelhard, Amy Holden Jones",Paramount Pictures,"Robert Redford, Demi Moore, Woody Harrelson, Seymour Cassel, Oliver Platt, Billy Bob Thornton, Rip Taylor, Billy Connolly, Joel Brooks, Pierre Epstein, Danny Zorn, Kevin West, Pamela Holt, Tommy Bush, Mariclare Costello",5.9,58200,38000000,106614059,266614059,35.0,130.0,59.0
Jason Goes to Hell: The Final Friday,1993,"Fantasy, Horror, Thriller",87,USA,English,Adam Marcus,"Jay Huguely, Adam Marcus",New Line Cinema,"John D. LeMay, Kari Keegan, Kane Hodder, Steven Williams, Steven Culp, Erin Gray, Rusty Schwimmer, Richard Gant, Leslie Jordan, Billy Green Bush, Kipp Marcus, Andrew Bloch, Adam Cranner, Allison Smith, Julie Michaels",4.3,26002,3000000,15935068,15935068,17.0,344.0,132.0
The Joy Luck Club,1993,Drama,139,"USA, China","English, Mandarin, Cantonese",Wayne Wang,"Amy Tan, Amy Tan",Hollywood Pictures,"Kieu Chinh, Tsai Chin, France Nuyen, Lisa Lu, Ming-Na Wen, Tamlyn Tomita, Lauren Tom, Rosalind Chao, Chao Li Chi, Melanie Chang, Victor Wong, Lisa Connolly, Mai Vu, Ying Wu, Meijuan Xi",7.7,14266,11000000,32901136,32901136,84.0,115.0,28.0
Jurassic Park,1993,"Action, Adventure, Sci-Fi",127,USA,"English, Spanish",Steven Spielberg,"Michael Crichton, Michael Crichton",Universal Pictures,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, BD Wong, Joseph Mazzello, Ariana Richards, Samuel L. Jackson, Wayne Knight, Gerald R. Molen, Miguel Sandoval, Cameron Thor, Christopher John Fields",8.1,802696,63000000,402828120,1030314141,68.0,1053.0,352.0
Kalifornia,1993,"Crime, Drama, Thriller",117,USA,English,Dominic Sena,"Stephen Levy, Tim Metcalfe",PolyGram Filmed Entertainment,"Brad Pitt, Kathy Larson, David Milford, David Duchovny, John Zarchen, David Rose, Michelle Forbes, Tommy Chappelle, Juliette Lewis, Judson Vaughn, James Michael McDougal, Patricia Sill, Brett Rice, Marisa Raper, Bill Crabb",6.7,48516,9000000,2395231,2395231,49.0,174.0,62.0
King of the Hill,1993,"Drama, History",103,USA,English,Steven Soderbergh,"A.E. Hotchner, Steven Soderbergh",Wildwood Enterprises,"Jesse Bradford, Jeroen Krabbé, Lisa Eichhorn, Karen Allen, Spalding Gray, Elizabeth McGovern, Cameron Boyd, Adrien Brody, Joe Chrest, John McConnell, Amber Benson, Kristin Griffith, Chris Samples, Peggy Freisen, Katherine Heigl",7.5,7007,8000000,1214231,1214231,86.0,48.0,50.0
Last Action Hero,1993,"Action, Adventure, Comedy",130,USA,English,John McTiernan,"Zak Penn, Adam Leff",Columbia Pictures,"Arnold Schwarzenegger, F. Murray Abraham, Art Carney, Charles Dance, Frank McRae, Tom Noonan, Robert Prosky, Anthony Quinn, Mercedes Ruehl, Austin O'Brien, Ian McKellen, Professor Toru Tanaka, Joan Plowright, Keith Barish, Jim Belushi",6.4,128434,85000000,50016394,137298489,44.0,284.0,111.0
Menace II Society,1993,"Crime, Drama, Thriller",97,USA,English,"Albert Hughes, Allen Hughes","Allen Hughes, Albert Hughes",New Line Cinema,"Tyrin Turner, Larenz Tate, June Kyoto Lu, Toshi Toda, Samuel L. Jackson, Anthony Johnson, Brandon Hammond, Glenn Plummer, Reginald Ballard, Khandi Alexander, Eugene Lee, James Pickens Jr., Nancy Cheryll Davis, Jullian Roy Doster, Jada Pinkett Smith",7.5,47813,3500000,27912072,27912072,76.0,112.0,32.0
Mrs. Doubtfire,1993,"Comedy, Drama, Family",125,USA,English,Chris Columbus,"Anne Fine, Randi Mayem Singer",Twentieth Century Fox,"Robin Williams, Sally Field, Pierce Brosnan, Harvey Fierstein, Polly Holliday, Lisa Jakub, Matthew Lawrence, Mara Wilson, Robert Prosky, Anne Haney, Scott Capurro, Sydney Walker, Joe Bellan, Martin Mull, Terence McGovern",7.0,226803,25000000,219195243,441286195,53.0,261.0,57.0
The Nightmare Before Christmas,1993,"Animation, Family, Fantasy",76,USA,English,Henry Selick,"Tim Burton, Michael McDowell",Touchstone Pictures,"Danny Elfman, Chris Sarandon, Catherine O'Hara, William Hickey, Glenn Shadix, Paul Reubens, Ken Page, Edward Ivory, Susan McBride, Debi Durst, Greg Proops, Kerry Katz, Randy Crenshaw, Sherwood Ball, Carmen Twillie",8.0,274479,18000000,75082668,88170974,82.0,496.0,232.0
Orlando,1992,"Biography, Drama, Fantasy",94,"UK, Russia, Italy, France, Netherlands","English, French",Sally Potter,"Sally Potter, Virginia Woolf",Adventure Pictures,"Tilda Swinton, Quentin Crisp, Jimmy Somerville, John Bott, Elaine Banham, Anna Farnworth, Sara Mair-Thomas, Anna Healy, Dudley Sutton, Simon Russell Beale, Matthew Sim, Jerome Willis, Viktor Stepanov, Charlotte Valandrey, Mary MacLeod",7.2,12621,4000000,5377643,5377643,74.0,76.0,59.0
The Pelican Brief,1993,"Crime, Drama, Mystery",141,USA,English,Alan J. Pakula,"John Grisham, Alan J. Pakula",Warner Bros.,"Julia Roberts, Denzel Washington, Sam Shepard, John Heard, Tony Goldwyn, James Sikking, William Atherton, Robert Culp, Stanley Tucci, Hume Cronyn, John Lithgow, Anthony Heald, Nicholas Woodeson, Stanley Anderson, John Finn",6.6,71476,45000000,100768056,195268056,50.0,105.0,54.0
A Perfect World,1993,"Crime, Drama, Thriller",138,USA,English,Clint Eastwood,John Lee Hancock,Warner Bros.,"Kevin Costner, Clint Eastwood, Laura Dern, T.J. Lowther, Keith Szarabajka, Leo Burmester, Paul Hewitt, Bradley Whitford, Ray McKinnon, Jennifer Griffin, Leslie Flowers, Belinda Flowers, Darryl Cox, Jay Whiteaker, Taylor Suzanna McBride",7.6,69168,30000000,31130999,135130999,71.0,141.0,68.0
Philadelphia,1993,Drama,125,USA,English,Jonathan Demme,Ron Nyswaner,TriStar Pictures,"Tom Hanks, Denzel Washington, Roberta Maxwell, Buzz Kilman, Karen Finley, Daniel Chapman, Mark Sorensen Jr., Jeffrey Williamson, Charles Glenn, Ron Vawter, Anna Deavere Smith, Stephanie Roth Haberle, Lisa Talerico, Joanne Woodward, Jason Robards",7.7,210429,26000000,77446440,206678440,66.0,292.0,82.0
The Piano,1993,"Drama, Music, Romance",121,"New Zealand, Australia, France","English, British Sign Language, Maori",Jane Campion,Jane Campion,CiBy 2000,"Holly Hunter, Harvey Keitel, Sam Neill, Anna Paquin, Kerry Walker, Geneviève Lemon, Tungia Baker, Ian Mune, Peter Dennett, Te Whatanui Skipwith, Pete Smith, Bruce Allpress, Cliff Curtis, Carla Rupuha, Mahina Tunui",7.6,74207,7000000,40157856,40168956,89.0,265.0,86.0
Poetic Justice,1993,"Drama, Romance",109,USA,English,John Singleton,John Singleton,Columbia Pictures,"Khandi Alexander, Maya Angelou, Ché J. Avery, Lloyd Avery II, Kimberly Brooks, Rico Bueno, Maia Campbell, Jeff Cantrel, Michael Colyar, Kina Cosper, John Cothran, Dina D., Joe Dalu, James Deeth, Norma Donaldson",6.0,11567,14000000,27515786,27515786,51.0,34.0,14.0
The Remains of the Day,1993,"Drama, Romance",134,"USA, UK","English, French, German",James Ivory,"Kazuo Ishiguro, Ruth Prawer Jhabvala",Columbia Pictures,"John Haycraft, Christopher Reeve, Anthony Hopkins, Emma Thompson, Caroline Hunt, James Fox, Peter Vaughan, Paula Jacobs, Ben Chaplin, Steve Dibben, Abigail Hopkins, Patrick Godfrey, Peter Cellier, Peter Halliday, Hugh Grant",7.8,59626,15000000,23237911,23237911,84.0,189.0,66.0
Return of the Living Dead III,1993,Horror,97,"USA, Japan","English, Spanish",Brian Yuzna,John Penney,Bandai Visual Company,"Kent McCord, James T. Callahan, Sarah Douglas, Melinda Clarke, Abigail Lenz, J. Trevor Edmond, Jill Andre, Michael Decker, Billy Kane, Mike Moroff, Julian Scott Urena, Pía Reyes, Sal Lopez, Dana Lee, Michael Deak",5.9,12839,2000000,54207,54207,47.0,138.0,72.0
Rising Sun,1993,"Action, Crime, Drama",125,USA,"English, Japanese",Philip Kaufman,"Michael Crichton, Philip Kaufman",Twentieth Century Fox,"Sean Connery, Wesley Snipes, Harvey Keitel, Cary-Hiroyuki Tagawa, Kevin Anderson, Mako, Ray Wise, Stan Egi, Stan Shaw, Tia Carrere, Steve Buscemi, Tatjana Patitz, Peter Crombie, Sam Lloyd, Alexandra Powers",6.2,40146,35000000,63179523,107198790,56.0,83.0,44.0
Robin Hood: Men in Tights,1993,"Adventure, Comedy, Musical",104,"France, USA",English,Mel Brooks,"J.D. Shapiro, Evan Chandler",Brooksfilms,"Cary Elwes, Richard Lewis, Roger Rees, Amy Yasbeck, Mark Blankfield, Dave Chappelle, Isaac Hayes, Megan Cavanagh, Eric Allan Kramer, Matthew Porretta, Tracey Ullman, Patrick Stewart, Dom DeLuise, Dick Van Patten, Robert Ridgely",6.7,109626,20000000,35739755,35739755,44.0,207.0,45.0
RoboCop 3,1993,"Action, Crime, Sci-Fi",104,USA,"English, Japanese",Fred Dekker,"Edward Neumeier, Michael Miner",Orion Pictures,"Robert John Burke, Mario Machado, Remy Ryan, Jodi Long, John Posey, Rip Torn, Mako, John Castle, S.D. Nemeth, Edith Ivey, Curtis Taylor, CCH Pounder, Judson Vaughn, Ken Strong, Stanley Anderson",4.1,43414,22000000,10696210,10696210,40.0,198.0,98.0
Rookie of the Year,1993,"Comedy, Family, Fantasy",103,USA,English,Daniel Stern,Sam Harper,Twentieth Century Fox,"Thomas Ian Nicholas, Gary Busey, Albert Hall, Amy Morton, Dan Hedaya, Bruce Altman, Eddie Bracken, Robert Hy Gorman, Patrick LaBrecque, Daniel Stern, Colombe Jacobsen-Derstine, Kristie Davis, Tyler Ann Carroll, Tom Milanovich, Ross Lehman",6.0,22841,10000000,53615089,56500758,53.0,42.0,18.0
Schindler's List,1993,"Biography, Drama, History",195,USA,"English, Hebrew, German, Polish",Steven Spielberg,"Thomas Keneally, Steven Zaillian",Universal Pictures,"Liam Neeson, Ben Kingsley, Ralph Fiennes, Caroline Goodall, Jonathan Sagall, Embeth Davidtz, Malgorzata Gebel, Shmuel Levy, Mark Ivanir, Béatrice Macola, Andrzej Seweryn, Friedrich von Thun, Krzysztof Luft, Harry Nehring, Norbert Weisser",8.9,1120236,22000000,96898818,322243445,94.0,1642.0,221.0
Searching for Bobby Fischer,1993,"Biography, Drama",109,USA,English,Steven Zaillian,"Fred Waitzkin, Steven Zaillian",Mirage Enterprises,"Max Pomeranc, Joe Mantegna, Joan Allen, Ben Kingsley, Laurence Fishburne, Michael Nirenberg, Robert Stephens, David Paymer, Hal Scardino, Vasek Simek, William H. Macy, Dan Hedaya, Laura Linney, Anthony Heald, Steven Randazzo",7.4,27602,12000000,7266383,7266383,89.0,90.0,40.0
The Secret Garden,1993,"Drama, Family, Fantasy",101,"UK, USA",English,Agnieszka Holland,"Frances Hodgson Burnett, Caroline Thompson",Warner Bros.,"Kate Maberly, Heydon Prowse, Andrew Knott, Maggie Smith, Laura Crossley, John Lynch, Walter Sparrow, Irène Jacob, Frank Baker, Valerie Hill, Andrea Pickering, Peter Moreton, Arthur Spreckley, Colin Bruce, Parsan Singh",7.3,34010,18000000,31181347,31181347,74.0,108.0,29.0
Sister Act 2: Back in the Habit,1993,"Comedy, Family, Music",107,USA,English,Bill Duke,"Paul Rudnick, James Orr",Touchstone Pictures,"Whoopi Goldberg, Kathy Najimy, Barnard Hughes, Mary Wickes, James Coburn, Michael Jeter, Wendy Makkena, Sheryl Lee Ralph, Robert Pastorelli, Thomas Gottschalk, Maggie Smith, Lauryn Hill, Brad Sullivan, Alanna Ubach, Ryan Toby",5.6,45493,38000000,57319029,57319029,38.0,87.0,20.0
Siu nin Wong Fei Hung chi: Tit ma lau,1993,"Action, Crime, Drama",90,Hong Kong,Cantonese,Woo-Ping Yuen,"Tan Cheung, Richard Epcar",Film Workshop,"Rongguang Yu, Donnie Yen, Jean Wang, Sze-Man Tsang, Shun-Yee Yuen, James Wong, Shi-Kwan Yen, Fai Lee, Hou Hsiao, Brianne Brozey, Mandy Chan, Siu Wah Chan, Fung-Lei Cheung, Kwai Po Chun, Peter Doyle",7.5,14805,11000000,14694904,14694904,79.0,126.0,117.0
Six Degrees of Separation,1993,"Comedy, Drama, Mystery",112,USA,"English, Italian",Fred Schepisi,"John Guare, John Guare",Metro-Goldwyn-Mayer (MGM),"Stockard Channing, Will Smith, Donald Sutherland, Ian McKellen, Mary Beth Hurt, Bruce Davison, Richard Masur, Anthony Michael Hall, Heather Graham, Eric Thal, Anthony Rapp, Oz Perkins, Catherine Kellner, J.J. Abrams, Joe Pentangelo",6.8,18897,12000000,6405918,6405918,72.0,101.0,38.0
Sleepless in Seattle,1993,"Comedy, Drama, Romance",105,USA,English,Nora Ephron,"Jeff Arch, Nora Ephron",TriStar Pictures,"Tom Hanks, Ross Malinger, Rita Wilson, Victor Garber, Tom Riis Farrell, Carey Lowell, Meg Ryan, Bill Pullman, Le Clanché du Rand, Kevin O'Morrison, David Hyde Pierce, Valerie Wright, Frances Conroy, Tom Tammi, Calvin Trillin",6.8,148276,21000000,126808165,227927165,72.0,237.0,80.0
Sliver,1993,"Drama, Thriller",107,USA,English,Phillip Noyce,"Ira Levin, Joe Eszterhas",Paramount Pictures,"Sharon Stone, William Baldwin, Tom Berenger, Polly Walker, Colleen Camp, Amanda Foreman, Martin Landau, CCH Pounder, Nina Foch, Keene Curtis, Nicholas Pryor, Anne Betancourt, Tony Peck, Frantz Turner, Melvyn Kinder",5.0,27020,40000000,36300000,116300000,38.0,77.0,49.0
Son of the Pink Panther,1993,"Comedy, Crime",93,"Italy, USA","English, Italian",Blake Edwards,"Maurice Richlin, Blake Edwards",Filmauro,"Roberto Benigni, Herbert Lom, Claudia Cardinale, Shabana Azmi, Debrah Farentino, Jennifer Edwards, Robert Davi, Mark Schneider, Mike Starr, Kenny Spalding, Anton Rodgers, Burt Kwouk, Graham Stark, Oliver Cotton, Aharon Ipalé",3.9,4564,25000000,2438031,2438031,33.0,46.0,23.0
Teenage Mutant Ninja Turtles III,1993,"Action, Adventure, Comedy",96,"USA, Hong Kong",English,Stuart Gillard,"Kevin Eastman, Peter Laird",Golden Harvest Company,"Elias Koteas, Paige Turco, Stuart Wilson, Sab Shimono, Vivian Wu, Mark Caso, Matt Hill, Jim Raposa, David Fraser, James Murray, Eidan Hanzei, John Aylward, Mak Takano, Steve Akahoshi, Kent Kim",4.8,29230,21000000,42273609,42273609,40.0,89.0,65.0
