title,year,genre,duration,country,language,director,writer,production_company,actors,avg_vote,votes,budget,usa_gross_income,worldwide_gross_income,metascore,reviews_from_users,reviews_from_critics
Stand Up Guys,2012,"Comedy, Crime, Thriller",95,USA,"English, Belarusian",Fisher Stevens,Noah Haidle,Lionsgate,"Al Pacino, Christopher Walken, Alan Arkin, Julianna Margulies, Mark Margolis, Lucy Punch, Addison Timlin, Vanessa Ferlito, Katheryn Winnick, Bill Burr, Craig Sheffer, Yorgo Constantine, Weronika Rosati, Keone Young, Courtney Platt",6.5,51111,15000000,3310031,5072654,41.0,135.0,185.0
We Bought a Zoo,2011,"Comedy, Drama, Family",124,USA,"English, Spanish",Cameron Crowe,"Aline Brosh McKenna, Cameron Crowe",Twentieth Century Fox,"Matt Damon, Scarlett Johansson, Thomas Haden Church, Colin Ford, Maggie Elizabeth Jones, Angus Macfadyen, Elle Fanning, Patrick Fugit, John Michael Higgins, Carla Gallo, J.B. Smoove, Stephanie Szostak, Michael Panes, Kym Whitley, Todd Stanton",7.1,128679,50000000,75624550,120081841,58.0,222.0,261.0
When the Bough Breaks,2016,"Crime, Drama, Horror",107,USA,English,Jon Cassar,"Jack Olsen, Jack Olsen",Screen Gems,"Morris Chestnut, Regina Hall, Romany Malco, Michael Kenneth Williams, Glenn Morshower, Theo Rossi, Jaz Sinclair, GiGi Erneta, Tom Nowicki, Denise Gossett, Janee Michelle, Carrie Lazar, Ariadne Joseph, Matthew M. Mitchell, Maurice Johnson",5.1,5050,10000000,29747603,30658387,28.0,39.0,38.0
In the Heart of the Sea,2015,"Action, Adventure, Biography",122,"USA, Australia, Spain",English,Ron Howard,"Charles Leavitt, Charles Leavitt",Warner Bros.,"Chris Hemsworth, Benjamin Walker, Cillian Murphy, Brendan Gleeson, Ben Whishaw, Michelle Fairley, Tom Holland, Paul Anderson, Frank Dillane, Joseph Mawle, Edward Ashley, Sam Keeley, Osy Ikhile, Gary Beadle, Jamie Sives",6.9,111477,100000000,25020758,93920758,47.0,246.0,316.0
Why Did I Get Married Too?,2010,"Comedy, Drama, Romance",121,USA,English,Tyler Perry,Tyler Perry,Lionsgate,"Tyler Perry, Janet Jackson, Jill Scott, Sharon Leal, Malik Yoba, Richard T. Jones, Tasha Smith, Lamman Rucker, Michael Jai White, Louis Gossett Jr., Cicely Tyson, Nia Iman Muhammad, Tyson Gilmore, Valarie Pettiford, Marc Farley",4.6,8762,20000000,60095852,60673972,43.0,72.0,37.0
The Hunger Games,2012,"Action, Adventure, Sci-Fi",142,USA,English,Gary Ross,"Gary Ross, Suzanne Collins",Lionsgate,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields, Liam Hemsworth, Elizabeth Banks, Sandra Ellis Lafferty, Paula Malcomson, Rhoda Griffis, Sandino Moya-Smith, Josh Hutcherson, Raiko Bowman, Dwayne Boyd, Anthony Reynolds, Judd Lormand",7.2,806391,78000000,408010692,694394724,68.0,2001.0,680.0
Mad Max: Fury Road,2015,"Action, Adventure, Sci-Fi",120,"Australia, USA, South Africa","English, Russian",George Miller,"George Miller, Brendan McCarthy",Warner Bros. Pictures,"Tom Hardy, Charlize Theron, Nicholas Hoult, Hugh Keays-Byrne, Josh Helman, Nathan Jones, Zoë Kravitz, Rosie Huntington-Whiteley, Riley Keough, Abbey Lee, Courtney Eaton, John Howard, Richard Carter, Iota, Angus Sampson",8.1,805017,150000000,154058340,375209362,90.0,1886.0,812.0
Marmaduke,2010,"Comedy, Family",87,USA,English,Tom Dey,"Tim Rasmussen, Vince Di Meglio",Twentieth Century Fox,"Owen Wilson, Emma Stone, George Lopez, Christopher Mintz-Plasse, Steve Coogan, Fergie, Kiefer Sutherland, Damon Wayans Jr., Marlon Wayans, Sam Elliott, Lee Pace, Judy Greer, Caroline Sunshine, Finley Jacobsen, Mandy Haines",4.2,13553,50000000,33644788,83761844,30.0,67.0,98.0
Prisoners,2013,"Crime, Drama, Mystery",153,USA,English,Denis Villeneuve,Aaron Guzikowski,Alcon Entertainment,"Hugh Jackman, Jake Gyllenhaal, Viola Davis, Maria Bello, Terrence Howard, Melissa Leo, Paul Dano, Dylan Minnette, Zoë Soul, Erin Gerasimovich, Kyla-Drew, Wayne Duvall, Len Cariou, David Dastmalchian, Brad James",8.1,543544,46000000,61002302,122126687,74.0,801.0,488.0
Mr. Popper's Penguins,2011,"Comedy, Family, Fantasy",94,USA,English,Mark Waters,"Sean Anders, John Morris",Twentieth Century Fox,"Jim Carrey, Carla Gugino, Angela Lansbury, Ophelia Lovibond, Madeline Carroll, Clark Gregg, Jeffrey Tambor, David Krumholtz, Philip Baker Hall, Maxwell Perry Cotton, James Tupper, Dominic Chianese, William Charles Mitchell, Henry Kelemen, Kelli Barrett",6.0,82233,55000000,68224452,187361754,53.0,119.0,186.0
Passion Play,2010,"Drama, Fantasy, Romance",94,USA,English,Mitch Glazer,Mitch Glazer,Annapurna Productions,"Mickey Rourke, Megan Fox, Bill Murray, Kelly Lynch, Rhys Ifans, Chuck Liddell, Chris Browning, Mark Sivertsen, John Cenatiempo, Rory Cochrane, Frank Bond, Arron Shiver, Lora Martinez-Cunningham, Robert Wisdom, Liezl Carstens",4.6,7125,8000000,3669,25603,22.0,94.0,59.0
Venuto al mondo,2012,"Drama, Romance, War",127,"Italy, Spain","English, Italian, Bosnian",Sergio Castellitto,"Margaret Mazzantini, Sergio Castellitto",Medusa Film,"Penélope Cruz, Emile Hirsch, Adnan Haskovic, Saadet Aksoy, Pietro Castellitto, Mira Furlan, Jovan Divjak, Vinicio Marchioni, Branko Djuric, Jane Birkin, Luca De Filippo, Sergio Castellitto, Bruno Armando, Fausto Russo Alesi, Juan Carlos Vellido",7.4,14935,14170000,18295,5442820,34.0,34.0,39.0
It,2017,Horror,135,"USA, Canada",English,Andy Muschietti,"Chase Palmer, Cary Joji Fukunaga",New Line Cinema,"Jaeden Martell, Jeremy Ray Taylor, Sophia Lillis, Finn Wolfhard, Chosen Jacobs, Jack Dylan Grazer, Wyatt Oleff, Bill Skarsgård, Nicholas Hamilton, Jake Sim, Logan Thompson, Owen Teague, Jackson Robert Scott, Stephen Bogaert, Stuart Hughes",7.3,408221,35000000,327481748,700449318,69.0,1823.0,610.0
Taken 2,2012,"Action, Thriller",92,"France, USA","English, Turkish, Arabic",Olivier Megaton,"Luc Besson, Robert Mark Kamen",EuropaCorp,"Liam Neeson, Maggie Grace, Famke Janssen, Leland Orser, Jon Gries, D.B. Sweeney, Luke Grimes, Rade Serbedzija, Kevork Malikyan, Alain Figlarz, Frank Alvarez, Murat Tuncelli, Ali Yildirim, Ergun Kuyucu, Cengiz Bozkurt",6.2,277349,45000000,139854287,376141306,45.0,485.0,361.0
Journey 2: The Mysterious Island,2012,"Action, Adventure, Comedy",94,USA,English,Brad Peyton,"Brian Gunn, Mark Gunn",New Line Cinema,"Dwayne Johnson, Michael Caine, Josh Hutcherson, Luis Guzmán, Vanessa Hudgens, Kristin Davis, Anna Colwell, Stephen Caudill, Branscombe Richmond, Walter Bankson",5.8,85871,79000000,103860290,335260290,41.0,160.0,180.0
Straight Outta Compton,2015,"Biography, Drama, History",147,USA,English,F. Gary Gray,"Jonathan Herman, Andrea Berloff",Universal Pictures,"O'Shea Jackson Jr., Corey Hawkins, Jason Mitchell, Neil Brown Jr., Aldis Hodge, Marlon Yates Jr., R. Marcos Taylor, Carra Patterson, Alexandra Shipp, Paul Giamatti, Elena Goode, Keith Powers, Joshua Brockington, Sheldon A. Smith, LaKeith Stanfield",7.9,168582,28000000,161197785,201634991,72.0,376.0,381.0
Transformers: Dark of the Moon,2011,"Action, Adventure, Sci-Fi",154,USA,English,Michael Bay,Ehren Kruger,Paramount Pictures,"Shia LaBeouf, Rosie Huntington-Whiteley, Josh Duhamel, John Turturro, Tyrese Gibson, Patrick Dempsey, Frances McDormand, John Malkovich, Kevin Dunn, Julie White, Alan Tudyk, Ken Jeong, Glenn Morshower, Lester Speight, Buzz Aldrin",6.2,371113,195000000,352390543,1123794079,42.0,916.0,433.0
Winter's Bone,2010,"Drama, Mystery",100,USA,English,Debra Granik,"Debra Granik, Anne Rosellini",Anonymous Content,"Jennifer Lawrence, Isaiah Stone, Ashlee Thompson, Valerie Richards, Shelley Waggener, Garret Dillahunt, William White, Ramona Blair, Lauren Sweetser, Andrew Burnley, Phillip Burnley, Isaac Skidmore, Cody Brown, Cinnamon Schultz, John Hawkes",7.2,129538,2000000,6531503,13796834,90.0,335.0,372.0
