bom_id,title,total_gross,theaters,release_date,year
rl3798697473,Prince of the City,8124257,3,1981-08-19,1981
rl2069202433,The Funhouse,7886857,814,1981-03-13,1981
rl1046840833,Modern Problems,26154211,1119,1981-12-25,1981
rl2171831809,Student Bodies,5165432,628,1981-08-07,1981
rl423855617,All Night Long,4454295,362,1981-03-06,1981
rl3983443457,Sharky's Machine,35610100,1388,1981-12-18,1981
rl356550145,Absence of Malice,40716963,994,1981-11-20,1981
rl1399686657,Reds,40382659,644,1981-12-04,1981
rl1584039425,The Pursuit of D.B. Cooper,3702028,867,1981-11-13,1981
rl2621605377,Arthur,95461682,701,1981-07-17,1981
rl2910160385,Taps,35856053,792,1981-12-09,1981
rl3461711361,Ghost Story,23371905,600,1981-12-16,1981
rl679314945,Zoot Suit,3256082,57,1981-10-02,1981
rl2741798401,Rollover,10851261,755,1981-12-11,1981
rl895845889,Modern Romance,2863642,1,1981-03-13,1981
rl559318529,The Hand,2447576,183,1981-04-24,1981
rl4250306049,Heartbeeps,2154696,493,1981-12-18,1981
rl1383368193,This Is Elvis,2028612,309,1981-04-10,1981
rl1064535553,Sphinx,2022771,214,1981-02-13,1981
rl1062766081,Honky Tonk Freeway,2004742,629,1981-08-21,1981
rl4251616769,Raggedy Man,1976198,199,1981-09-18,1981
rl1180468737,King of the Mountain,1791147,703,1981-05-01,1981
rl4199253505,Cinderella,28040000,1050,1981-12-18,1981
rl1517389313,Silence of the North,1622898,272,1981-10-23,1981
rl3041953281,Eyes of a Stranger,1118634,180,1981-03-27,1981
rl2320795137,On Golden Pond,119285432,1015,1981-12-04,1981
rl2202568193,Cattle Annie and Little Britches,534816,215,1981-04-24,1981
rl4285171201,Ragtime,14920781,447,1981-11-20,1981
rl508265985,Chariots of Fire,58972904,810,1981-09-25,1981
rl995132929,E.T. the Extra-Terrestrial,359197037,1778,1982-06-11,1982
rl3010233857,Rocky III,124146897,1317,1982-05-28,1982
rl423790081,An Officer and a Gentleman,129795554,1050,1982-07-30,1982
rl1802208769,Porky's,105492483,1605,1982-03-19,1982
rl2993915393,Star Trek II: The Wrath of Khan,78912963,1621,1982-06-04,1982
rl107709953,Poltergeist,76606280,1060,1982-06-04,1982
rl2370078209,The Best Little Whorehouse in Texas,69701637,1435,1982-07-23,1982
rl625116673,Annie,57059003,1102,1982-05-21,1982
rl2270397953,First Blood,47212904,1054,1982-10-22,1982
rl2505278977,Firefox,46708276,1304,1982-06-18,1982
rl4165633537,Conan the Barbarian,39565475,1683,1982-05-14,1982
rl393577985,The Sword and the Sorcerer,39103425,660,1982-04-23,1982
rl1013745153,Richard Pryor: Live on the Sunset Strip,36299720,1277,1982-03-12,1982
rl3226633729,Friday the 13th Part III,34581519,1079,1982-08-13,1982
rl645367297,Tootsie,177200000,1222,1982-12-17,1982
rl2742715905,Young Doctors in Love,30688860,796,1982-07-16,1982
rl3984033281,TRON,33000000,1112,1982-07-09,1982
rl8029697,The World According to Garp,29712172,560,1982-07-23,1982
rl1215923713,Victor Victoria,28215453,615,1982-03-19,1982
rl2219279873,Blade Runner,27580111,1325,1982-06-25,1982
rl726894081,Fast Times at Ridgemont High,27092880,713,1982-08-13,1982
rl1433896449,The Toy,47118057,1542,1982-12-10,1982
rl1332774401,Some Kind of Hero,23671186,975,1982-04-02,1982
rl2772796929,Bambi,23000000,750,1982-06-04,1982
rl108299777,Pink Floyd: The Wall,22244207,673,1982-08-13,1982
rl1987544577,Things Are Tough All Over,21134374,1516,1982-08-06,1982
rl4030825985,48 Hrs.,78868508,1050,1982-12-10,1982
rl1364035073,Creepshow,21028755,1132,1982-11-12,1982
rl1969718785,Night Shift,21095638,683,1982-07-30,1982
rl139691521,My Favorite Year,20123620,720,1982-10-08,1982
rl1802798593,The Thing,19629760,910,1982-06-25,1982
rl3897329153,Deathtrap,19282134,603,1982-03-19,1982
rl2205255169,Six Pack,20225989,783,1982-07-16,1982
rl2806810113,Dead Men Don't Wear Plaid,18196170,906,1982-05-21,1982
rl2252375553,Airplane II: The Sequel,27150534,1300,1982-12-10,1982
rl1701611009,Mad Max 2: The Road Warrior,23667907,708,1982-05-21,1982
rl340559361,The Dark Crystal,40577001,1052,1982-12-17,1982
rl3682240001,Zapped!,16897768,777,1982-07-23,1982
rl3010102785,Quest for Fire,20959585,426,1982-02-12,1982
rl2537850369,Best Friends,36821203,1080,1982-12-17,1982
rl2069333505,Grease 2,15171476,1250,1982-06-11,1982
rl3344401921,Halloween III: Season of the Witch,14400000,1328,1982-10-22,1982
rl2790229505,Diner,14099953,30,1982-03-05,1982
rl776242689,The Beastmaster,14056528,1061,1982-08-20,1982
rl2910422529,Visiting Hours,13258670,1176,1982-05-28,1982
rl1417250305,Vice Squad,13253583,510,1982-01-22,1982
rl994412033,Author! Author!,13111101,508,1982-06-18,1982
rl1870235137,The Verdict,53977250,904,1982-12-10,1982
rl3597370881,Private Lessons,26279000,224,1982-08-28,1982
rl2219017729,Amityville II: The Possession,12534817,1200,1982-09-24,1982
rl3262088705,The Secret of NIMH,14665733,700,1982-07-02,1982
rl56985089,Monsignor,12408066,885,1982-10-22,1982
rl4267738625,Making Love,11897978,380,1982-02-12,1982
rl3914106369,Death Wish II,16100000,377,1982-02-19,1982
rl24020481,The Seduction,11378339,597,1982-01-22,1982
rl3714221569,Missing,14000000,733,1982-02-12,1982
rl1934394881,Das Boot,10915250,2,1982-02-10,1982
rl1383171585,Silent Rage,10490791,1458,1982-04-02,1982
rl826967553,Class Reunion,10054150,1125,1982-10-29,1982
rl475432449,Hanky Panky,9823934,1238,1982-06-04,1982
rl2942469633,A Midsummer Night's Sex Comedy,9077269,501,1982-07-16,1982
rl526091777,If You Could See What I Hear,8693512,558,1982-04-23,1982
rl695305729,Shoot the Moon,9217530,585,1982-01-22,1982
rl325551617,Night Crossing,8000000,640,1982-02-05,1982
rl4285040129,The Pirate Movie,7983086,757,1982-08-06,1982
rl541361665,The Beast Within,7742572,550,1982-02-12,1982
rl1752925697,Whose Life Is It Anyway?,8206145,615,1982-12-02,1982
rl1550353921,Peter Pan,17200000,800,1982-12-17,1982
rl3496117761,The Missionary,7241180,532,1982-11-05,1982
rl2336785921,Cat People,7000000,600,1982-04-02,1982
rl459900417,I Ought to Be in Pictures,6968359,662,1982-03-26,1982
rl2371847681,The Last Unicorn,6455330,690,1982-11-19,1982
rl1901102593,Evil Under the Sun,6110000,609,1982-03-05,1982
rl191071745,The Man from Snowy River,20659423,517,1982-11-05,1982
rl4117333505,Partners,6062898,877,1982-04-30,1982
rl778208769,Megaforce,5675599,1193,1982-06-25,1982
rl2473166337,Paradise,5588800,1147,1982-05-07,1982
rl239633921,Cannery Row,5301539,700,1982-02-12,1982
rl1716684289,Forced Vengeance,6660333,576,1982-07-30,1982
rl2942010881,Inchon,5200986,1291,1982-09-17,1982
rl3260450305,Heidi's Song,5124391,982,1982-11-19,1982
rl3983902209,Tempest,5005245,659,1982-09-03,1982
rl1131906561,Trail of the Pink Panther,9056073,806,1982-12-17,1982
rl575178241,They Call Me Bruce,16894678,324,1982-11-12,1982
rl2606532097,Kiss Me Goodbye,15782759,803,1982-12-24,1982
rl3007743489,The Border,6118683,888,1982-01-29,1982
rl811107841,Honkytonk Man,4484991,686,1982-12-17,1982
rl1534100993,The Soldier,6328816,488,1982-08-13,1982
rl3544286721,Six Weeks,6668025,613,1982-12-17,1982
rl1012762113,Jekyll and Hyde... Together Again,3792188,300,1982-10-01,1982
rl1853523457,Wrong Is Right,3583513,934,1982-05-14,1982
rl275285505,Pennies from Heaven,9171289,315,1982-12-11,1982
rl1835566593,Personal Best,5672311,236,1982-02-05,1982
rl1431537153,Fighting Back,3355948,1104,1982-05-21,1982
rl510166529,Penitentiary II,3178542,198,1982-04-02,1982
