bom_id,imdb_id,title,actor_1,actor_2,actor_3,actor_4,director,writer,producer,cinematographer,editor,production_designer,composer
rl3865675265,tt0105107,Passion Fish (1992),Mary McDonnell,Alfre Woodard,Angela Bassett,Lenore Banks,John Sayles,John Sayles,Sarah Green|Maggie Renzi,Roger Deakins,John Sayles,Dan Bishop|Dianna Freas,Mason Daring
rl3444016641,tt0101481,Bloodfist III: Forced to Fight (1992),Don Wilson,Richard Roundtree,Gregory McKinney,Rick Dean,Oley Sassone,Allison Burnett|Charlie Mattera|Charlie Mattera,Roger Corman,Rick Bota,Eric L. Beason,James R. Shumaker,Nigel Holton
rl3092219393,tt0101725,Diary of a Hitman (1991),Sherilyn Fenn,Sharon Stone,Forest Whitaker,Peter White,Roy London,Kenneth Pressman|Kenneth Pressman,Amin Q. Chaudhri,Yuri Sokol,Brian Smedley-Aston,Stephen Hendrickson,Michel Colombier
rl3210315265,tt0104418,Highway to Hell (1991),Patrick Bergin,Adam Storke,Chad Lowe,Kristy Swanson,Ate de Jong,Brian Helgeland,John Byers|Mary Ann Page,Robin Vidgeon,Todd C. Ramsay|Randy D. Thornton,Philip Dean Foreman,Frank Fitzpatrick|Hidden Faces|David Kitay|Larry Steelman
rl1799980545,tt0103888,Brother's Keeper (1992),Delbert Ward,Roscoe Ward,Lyman Ward,Walt Geisler,Joe Berlinger|Bruce Sinofsky,NONE,Joe Berlinger|Bruce Sinofsky,James D. Cooper|Richard Hissong,Joe Berlinger|Bruce Sinofsky,NONE,Molly Mason|Jay Ungar
rl2589165057,tt0103055,A Fine Romance (1992),Julie Andrews,Marcello Mastroianni,Jonathan Cecil,Ian Fitzgibbon,Gene Saks,François Billetdoux|Ronald Harwood,Arturo La Pegna|Massimiliano La Pegna,Franco Di Giacomo,Richard Nord|Anna Poscetti,NONE,Pino Donaggio
rl2791147009,tt0102174,Jumpin' at the Boneyard (1991),Tim Roth,Alexis Arquette,Danitra Vance,Samuel L. Jackson,Jeff Stanzler,Jeff Stanzler,Lloyd Steven Goldfine|Nina R. Sadowsky,Lloyd Steven Goldfine,Christopher Tellefsen,Caroline Wallner,Steve Postell
rl3714876929,tt0102817,Rubin and Ed (1991),Crispin Glover,Howard Hesseman,Karen Black,Michael Greene,Trent Harris,Trent Harris,Paul Webster,Bryan Duggan,Brent A. Schoenfeld,Clark Hunter,Fred Myrow
rl2689500673,tt0101773,Drive (1991),Steve Antin,Dedee Pfeiffer,David Warner,NONE,Jefery Levy,Jefery Levy|Colin MacLeod,Jefery Levy,Steven Wacks,Lauren Zuckerman,NONE,Charles H. Bisharat
rl1701414401,tt0102619,Oxen (1991),Stellan Skarsgård,Ewa Fröling,Erland Josephson,Max von Sydow,Sven Nykvist,Sven Nykvist|Lasse Summanen,Jean Doumanian,Sven Nykvist,Lasse Summanen,Peter Høimark,Lubos Fiser
rl760382977,tt0101898,Flirting (1991),Noah Taylor,Thandie Newton,Nicole Kidman,Bartholomew Rose,John Duigan,John Duigan,Terry Hayes|George Miller|Doug Mitchell,Geoff Burton,Robert Gibson,Roger Ford,NONE
rl342328833,tt0102566,Nuit et jour (1991),Guilaine Londez,Thomas Langmann,François Négret,Nicole Colchat,Chantal Akerman,Chantal Akerman|Pascal Bonitzer,Martine Marignac|Maurice Tinchant|Marilyn Watelet,Jean-Claude Neckelbrouck,Francine Sandberg,Dominique Douret|Michel Vandestien,Marc Hérouet
rl578389505,tt0105719,The Vagrant (1992),Bill Paxton,Michael Ironside,Marshall Bell,Mitzi Kapture,Chris Walas,Richard Jefferies,Gillian Richardson,John J. Connor|Jack Wallner,Jay Ignaszewski,Michael S. Bolton,Christopher Young
rl1769702913,tt0100930,Who Shot Pat? (1989),David Edwin Knight,Sandra Bullock,Kevin Otto,Aaron Ingram,Robert Brooks,Robert Brooks|Halle Brooks,Halle Brooks,Robert Brooks,Halle Brooks|Robert Brooks,NONE,Michael Bacon
rl3126429185,tt0102032,High Strung (1992),Steve Oedekerk,Thomas F. Wilson,Denise Crosby,Fred Willard,Roger Nygard,Robert Kuhn|Steve Oedekerk,Cirina Catania|Rubin M. Mendoza|Roger Nygard,Alan Oltman,Tom Siiter,Richard London,Vladimir Horunzhy|Thomas Lieberman
rl2354939393,tt0107290,Jurassic Park (1993),Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough,Steven Spielberg,Michael Crichton|Michael Crichton|David Koepp,Kathleen Kennedy|Gerald R. Molen,Dean Cundey,Michael Kahn,Rick Carter,John Williams
rl206931457,tt0106977,The Fugitive (1993),Harrison Ford,Tommy Lee Jones,Sela Ward,Julianne Moore,Andrew Davis,Jeb Stuart|David Twohy|David Twohy|Roy Huggins,Arnold Kopelson,Michael Chapman,Don Brochu|David Finfer|Dean Goodhill|Dov Hoenig|Richard Nord|Dennis Virkler,J. Dennis Washington,James Newton Howard
rl2186511873,tt0106918,The Firm (1993),Tom Cruise,Jeanne Tripplehorn,Gene Hackman,Hal Holbrook,Sydney Pollack,John Grisham|David Rabe|Robert Towne|David Rayfiel,John Davis|Sydney Pollack|Scott Rudin,John Seale,Fredric Steinkamp|William Steinkamp,Richard Macdonald,Dave Grusin
rl3597764097,tt0108160,Sleepless in Seattle (1993),Tom Hanks,Meg Ryan,Ross Malinger,Rita Wilson,Nora Ephron,Jeff Arch|Nora Ephron|David S. Ward|Jeff Arch,Gary Foster,Sven Nykvist,Robert M. Reitano,Jeffrey Townsend,Marc Shaiman
rl2085520897,tt0107614,Mrs. Doubtfire (1993),Robin Williams,Sally Field,Pierce Brosnan,Harvey Fierstein,Chris Columbus,Anne Fine|Randi Mayem Singer|Leslie Dixon,Mark Radcliffe|Marsha Garces Williams|Robin Williams,Donald McAlpine,Raja Gosnell,Angelo P. Graham,Howard Shore
rl2640020993,tt0107211,Indecent Proposal (1993),Robert Redford,Demi Moore,Woody Harrelson,Seymour Cassel,Adrian Lyne,Jack Engelhard|Amy Holden Jones,Sherry Lansing,Howard Atherton,Joe Hutshing,Mel Bourne,John Barry
rl3881731585,tt0107206,In the Line of Fire (1993),Clint Eastwood,John Malkovich,Rene Russo,Dylan McDermott,Wolfgang Petersen,Jeff Maguire,Jeff Apple,John Bailey,Anne V. Coates,Lilly Kilvert,Ennio Morricone
rl608863745,tt0106582,Cliffhanger (1993),Sylvester Stallone,John Lithgow,Michael Rooker,Janine Turner,Renny Harlin,John Long|Michael France|Michael France|Sylvester Stallone,Renny Harlin|Alan Marshall,Alex Thomson,Frank J. Urioste,John Vallone,Trevor Jones
rl3696395777,tt0106965,Free Willy (1993),Jason James Richter,Lori Petty,Michael Madsen,Jayne Atkinson,Simon Wincer,Keith Walker|Keith Walker|Corey Blechman,Jennie Lew Tugend|Lauren Shuler Donner,Robbie Greenberg,O. Nicholas Brown,Charles Rosen,Basil Poledouris
rl2723644929,tt0107048,Groundhog Day (1993),Bill Murray,Andie MacDowell,Chris Elliott,Stephen Tobolowsky,Harold Ramis,Danny Rubin|Harold Ramis|Danny Rubin,Trevor Albert|Harold Ramis,John Bailey,Pembroke J. Herring,David Nichols,George Fenton
